ev,evGol,dep,depGol
BURSASPOR,1,ELAZIĞSPOR,1
SAMSUNSPOR,2,ALTAY,4
GENÇLERBİRLİĞİ,1,GALATASARAY,0
FENERBAHCE,2,ISTANBULSPOR,0
ELAZIĞSPOR,0,KOCAELİSPOR,1
GAZİANTEPSPOR,0,TRABZONSPOR,0
ALTAY,2,BURSASPOR,1
ANKARAGUCU,1,GALATASARAY,2
MALATYASPOR,0,DİYARBAKIRSPOR,1
ADANASPOR A.Ş.,1,SAMSUNSPOR,1
DENİZLİSPOR,0,GÖZTEPE A.Ş.,0
BESIKTAS,1,GENÇLERBİRLİĞİ,1
KOCAELİSPOR,3,ALTAY,0
ISTANBULSPOR,2,ELAZIĞSPOR,1
TRABZONSPOR,1,DENİZLİSPOR,0
DİYARBAKIRSPOR,3,FENERBAHCE,0
GÖZTEPE A.Ş.,0,MALATYASPOR,3
SAMSUNSPOR,2,GENÇLERBİRLİĞİ,7
ANKARAGUCU,5,GAZİANTEPSPOR,3
BURSASPOR,3,ADANASPOR A.Ş.,0
GALATASARAY,0,BESIKTAS,1
GAZİANTEPSPOR,1,GALATASARAY,2
ADANASPOR A.Ş.,1,KOCAELİSPOR,0
ALTAY,4,ISTANBULSPOR,3
MALATYASPOR,2,TRABZONSPOR,2
FENERBAHCE,0,GÖZTEPE A.Ş.,0
ELAZIĞSPOR,0,DİYARBAKIRSPOR,1
GENÇLERBİRLİĞİ,2,BURSASPOR,0
BESIKTAS,2,SAMSUNSPOR,0
DENİZLİSPOR,2,ANKARAGUCU,1
ADANASPOR A.Ş.,0,ISTANBULSPOR,3
BESIKTAS,1,BURSASPOR,0
ALTAY,2,DİYARBAKIRSPOR,2
GENÇLERBİRLİĞİ,5,KOCAELİSPOR,1
SAMSUNSPOR,0,GALATASARAY,1
FENERBAHCE,3,TRABZONSPOR,2
DENİZLİSPOR,1,GAZİANTEPSPOR,0
ELAZIĞSPOR,0,GÖZTEPE A.Ş.,0
MALATYASPOR,3,ANKARAGUCU,1
GAZİANTEPSPOR,3,MALATYASPOR,0
GÖZTEPE A.Ş.,0,ALTAY,2
BURSASPOR,2,SAMSUNSPOR,1
KOCAELİSPOR,0,BESIKTAS,5
ISTANBULSPOR,1,GENÇLERBİRLİĞİ,3
DİYARBAKIRSPOR,2,ADANASPOR A.Ş.,0
TRABZONSPOR,1,ELAZIĞSPOR,1
ANKARAGUCU,0,FENERBAHCE,0
GALATASARAY,0,DENİZLİSPOR,1
GENÇLERBİRLİĞİ,3,DİYARBAKIRSPOR,1
SAMSUNSPOR,1,KOCAELİSPOR,0
MALATYASPOR,2,DENİZLİSPOR,1
FENERBAHCE,2,GAZİANTEPSPOR,0
ELAZIĞSPOR,1,ANKARAGUCU,0
ALTAY,1,TRABZONSPOR,4
ADANASPOR A.Ş.,1,GÖZTEPE A.Ş.,2
BESIKTAS,2,ISTANBULSPOR,1
BURSASPOR,0,GALATASARAY,4
GÖZTEPE A.Ş.,0,GENÇLERBİRLİĞİ,0
TRABZONSPOR,3,ADANASPOR A.Ş.,1
ANKARAGUCU,3,ALTAY,0
ISTANBULSPOR,0,SAMSUNSPOR,1
GALATASARAY,2,MALATYASPOR,1
GAZİANTEPSPOR,4,ELAZIĞSPOR,0
KOCAELİSPOR,0,BURSASPOR,0
DİYARBAKIRSPOR,1,BESIKTAS,0
DENİZLİSPOR,1,FENERBAHCE,1
FENERBAHCE,2,MALATYASPOR,0
ALTAY,0,GAZİANTEPSPOR,0
GENÇLERBİRLİĞİ,2,TRABZONSPOR,1
BURSASPOR,1,ISTANBULSPOR,2
KOCAELİSPOR,0,GALATASARAY,1
ELAZIĞSPOR,0,DENİZLİSPOR,2
ADANASPOR A.Ş.,0,ANKARAGUCU,2
SAMSUNSPOR,3,DİYARBAKIRSPOR,1
BESIKTAS,7,GÖZTEPE A.Ş.,3
GAZİANTEPSPOR,1,ADANASPOR A.Ş.,1
MALATYASPOR,1,ELAZIĞSPOR,1
GÖZTEPE A.Ş.,0,SAMSUNSPOR,0
DENİZLİSPOR,1,ALTAY,1
GALATASARAY,2,FENERBAHCE,0
ISTANBULSPOR,2,KOCAELİSPOR,1
DİYARBAKIRSPOR,4,BURSASPOR,0
ANKARAGUCU,0,GENÇLERBİRLİĞİ,1
TRABZONSPOR,1,BESIKTAS,1
GENÇLERBİRLİĞİ,2,GAZİANTEPSPOR,1
ELAZIĞSPOR,3,FENERBAHCE,3
ISTANBULSPOR,1,GALATASARAY,2
SAMSUNSPOR,1,TRABZONSPOR,3
ADANASPOR A.Ş.,2,DENİZLİSPOR,1
ALTAY,0,MALATYASPOR,2
BURSASPOR,1,GÖZTEPE A.Ş.,0
KOCAELİSPOR,1,DİYARBAKIRSPOR,1
BESIKTAS,1,ANKARAGUCU,0
ANKARAGUCU,3,SAMSUNSPOR,2
MALATYASPOR,1,ADANASPOR A.Ş.,0
DİYARBAKIRSPOR,1,ISTANBULSPOR,1
FENERBAHCE,0,ALTAY,1
TRABZONSPOR,3,BURSASPOR,0
DENİZLİSPOR,1,GENÇLERBİRLİĞİ,3
GÖZTEPE A.Ş.,1,KOCAELİSPOR,2
GAZİANTEPSPOR,1,BESIKTAS,1
GALATASARAY,3,ELAZIĞSPOR,0
KOCAELİSPOR,2,TRABZONSPOR,2
SAMSUNSPOR,2,GAZİANTEPSPOR,1
GENÇLERBİRLİĞİ,3,MALATYASPOR,0
BESIKTAS,2,DENİZLİSPOR,0
ALTAY,5,ELAZIĞSPOR,1
BURSASPOR,0,ANKARAGUCU,2
ISTANBULSPOR,3,GÖZTEPE A.Ş.,1
DİYARBAKIRSPOR,1,GALATASARAY,3
ADANASPOR A.Ş.,3,FENERBAHCE,1
GALATASARAY,5,ALTAY,0
DENİZLİSPOR,0,SAMSUNSPOR,1
GÖZTEPE A.Ş.,3,DİYARBAKIRSPOR,0
MALATYASPOR,1,BESIKTAS,2
ANKARAGUCU,2,KOCAELİSPOR,0
ELAZIĞSPOR,4,ADANASPOR A.Ş.,2
TRABZONSPOR,0,ISTANBULSPOR,0
GAZİANTEPSPOR,2,BURSASPOR,1
FENERBAHCE,3,GENÇLERBİRLİĞİ,3
GÖZTEPE A.Ş.,0,GALATASARAY,1
ISTANBULSPOR,1,ANKARAGUCU,0
GENÇLERBİRLİĞİ,2,ELAZIĞSPOR,0
SAMSUNSPOR,1,MALATYASPOR,1
DİYARBAKIRSPOR,2,TRABZONSPOR,0
KOCAELİSPOR,0,GAZİANTEPSPOR,3
ADANASPOR A.Ş.,5,ALTAY,2
BURSASPOR,2,DENİZLİSPOR,0
BESIKTAS,2,FENERBAHCE,0
ELAZIĞSPOR,0,BESIKTAS,1
ANKARAGUCU,3,DİYARBAKIRSPOR,1
DENİZLİSPOR,1,KOCAELİSPOR,2
FENERBAHCE,1,SAMSUNSPOR,1
ALTAY,3,GENÇLERBİRLİĞİ,3
TRABZONSPOR,0,GÖZTEPE A.Ş.,0
GAZİANTEPSPOR,4,ISTANBULSPOR,3
MALATYASPOR,4,BURSASPOR,2
GALATASARAY,2,ADANASPOR A.Ş.,2
BURSASPOR,2,FENERBAHCE,1
GENÇLERBİRLİĞİ,0,ADANASPOR A.Ş.,2
SAMSUNSPOR,4,ELAZIĞSPOR,3
ISTANBULSPOR,2,DENİZLİSPOR,1
BESIKTAS,2,ALTAY,0
DİYARBAKIRSPOR,0,GAZİANTEPSPOR,1
KOCAELİSPOR,2,MALATYASPOR,3
GÖZTEPE A.Ş.,0,ANKARAGUCU,1
TRABZONSPOR,1,GALATASARAY,2
FENERBAHCE,1,KOCAELİSPOR,0
ADANASPOR A.Ş.,0,BESIKTAS,1
ANKARAGUCU,2,TRABZONSPOR,0
GAZİANTEPSPOR,3,GÖZTEPE A.Ş.,1
ALTAY,2,SAMSUNSPOR,2
DENİZLİSPOR,2,DİYARBAKIRSPOR,0
MALATYASPOR,1,ISTANBULSPOR,2
ELAZIĞSPOR,2,BURSASPOR,1
GALATASARAY,1,GENÇLERBİRLİĞİ,1
TRABZONSPOR,2,GAZİANTEPSPOR,1
BURSASPOR,2,ALTAY,1
DİYARBAKIRSPOR,1,MALATYASPOR,1
SAMSUNSPOR,0,ADANASPOR A.Ş.,2
KOCAELİSPOR,1,ELAZIĞSPOR,3
ISTANBULSPOR,2,FENERBAHCE,0
GÖZTEPE A.Ş.,2,DENİZLİSPOR,3
GALATASARAY,3,ANKARAGUCU,0
GENÇLERBİRLİĞİ,1,BESIKTAS,2
MALATYASPOR,4,GÖZTEPE A.Ş.,1
ALTAY,5,KOCAELİSPOR,0
GENÇLERBİRLİĞİ,1,SAMSUNSPOR,1
GAZİANTEPSPOR,4,ANKARAGUCU,2
