ev,evGol,dep,depGol
KOCAELİSPOR,2,FENERBAHCE,3
SIVASSPOR,3,MKE ANKARAGÜCÜ,0
GAZİANTEPSPOR,0,KONYASPOR,1
KAYSERISPOR,1,ANKARASPOR A.Ş.,2
GENÇLERBİRLİĞİ,1,BESIKTAS,3
GALATASARAY,3,TRABZONSPOR,0
BESIKTAS,1,SIVASSPOR,1
DENİZLİSPOR,2,GENÇLERBİRLİĞİ,2
ANKARASPOR A.Ş.,4,KOCAELİSPOR,0
FENERBAHCE,5,BURSASPOR,2
ANTALYASPOR,1,HACETTEPE SPOR,1
MKE ANKARAGÜCÜ,1,KAYSERISPOR,3
KONYASPOR,1,BÜYÜKŞEHİR BLD.SPOR,2
TRABZONSPOR,1,GAZİANTEPSPOR,1
ESKİŞEHİRSPOR,4,GALATASARAY,2
HACETTEPE SPOR,1,KONYASPOR,2
BÜYÜKŞEHİR BLD.SPOR,0,TRABZONSPOR,4
ESKİŞEHİRSPOR,2,FENERBAHCE,2
SIVASSPOR,3,DENİZLİSPOR,1
GENÇLERBİRLİĞİ,1,ANTALYASPOR,2
BURSASPOR,0,ANKARASPOR A.Ş.,1
KOCAELİSPOR,1,MKE ANKARAGÜCÜ,1
KAYSERISPOR,1,BESIKTAS,0
GALATASARAY,3,GAZİANTEPSPOR,1
BESIKTAS,5,KOCAELİSPOR,2
MKE ANKARAGÜCÜ,1,BURSASPOR,1
TRABZONSPOR,1,HACETTEPE SPOR,0
KONYASPOR,2,GENÇLERBİRLİĞİ,2
DENİZLİSPOR,1,KAYSERISPOR,0
ANKARASPOR A.Ş.,2,ESKİŞEHİRSPOR,0
GAZİANTEPSPOR,1,BÜYÜKŞEHİR BLD.SPOR,4
ANTALYASPOR,2,SIVASSPOR,1
FENERBAHCE,4,GALATASARAY,1
GENÇLERBİRLİĞİ,0,TRABZONSPOR,1
KOCAELİSPOR,3,DENİZLİSPOR,2
FENERBAHCE,2,ANKARASPOR A.Ş.,0
ESKİŞEHİRSPOR,1,MKE ANKARAGÜCÜ,3
SIVASSPOR,1,KONYASPOR,0
HACETTEPE SPOR,0,GAZİANTEPSPOR,0
KAYSERISPOR,0,ANTALYASPOR,0
BURSASPOR,0,BESIKTAS,0
GALATASARAY,2,BÜYÜKŞEHİR BLD.SPOR,0
GAZİANTEPSPOR,2,GENÇLERBİRLİĞİ,0
ANTALYASPOR,0,KOCAELİSPOR,0
MKE ANKARAGÜCÜ,0,FENERBAHCE,0
ANKARASPOR A.Ş.,0,GALATASARAY,0
KONYASPOR,0,KAYSERISPOR,0
DENİZLİSPOR,4,BURSASPOR,3
BÜYÜKŞEHİR BLD.SPOR,1,HACETTEPE SPOR,0
TRABZONSPOR,0,SIVASSPOR,0
BESIKTAS,2,ESKİŞEHİRSPOR,0
KAYSERISPOR,1,TRABZONSPOR,1
ANKARASPOR A.Ş.,0,MKE ANKARAGÜCÜ,1
ESKİŞEHİRSPOR,4,DENİZLİSPOR,3
SIVASSPOR,3,GAZİANTEPSPOR,0
FENERBAHCE,2,BESIKTAS,1
BURSASPOR,1,ANTALYASPOR,1
KOCAELİSPOR,3,KONYASPOR,0
GENÇLERBİRLİĞİ,0,BÜYÜKŞEHİR BLD.SPOR,0
GALATASARAY,3,HACETTEPE SPOR,1
DENİZLİSPOR,0,FENERBAHCE,1
HACETTEPE SPOR,0,GENÇLERBİRLİĞİ,3
GAZİANTEPSPOR,0,KAYSERISPOR,0
ANTALYASPOR,0,ESKİŞEHİRSPOR,0
BESIKTAS,1,ANKARASPOR A.Ş.,3
BÜYÜKŞEHİR BLD.SPOR,0,SIVASSPOR,3
KONYASPOR,0,BURSASPOR,0
TRABZONSPOR,2,KOCAELİSPOR,1
MKE ANKARAGÜCÜ,0,GALATASARAY,3
GENÇLERBİRLİĞİ,1,GALATASARAY,3
SIVASSPOR,2,HACETTEPE SPOR,1
KAYSERISPOR,2,BÜYÜKŞEHİR BLD.SPOR,0
BURSASPOR,2,TRABZONSPOR,1
BESIKTAS,1,MKE ANKARAGÜCÜ,0
KOCAELİSPOR,2,GAZİANTEPSPOR,5
ANKARASPOR A.Ş.,2,DENİZLİSPOR,0
ESKİŞEHİRSPOR,0,KONYASPOR,0
FENERBAHCE,2,ANTALYASPOR,0
KONYASPOR,1,FENERBAHCE,2
BÜYÜKŞEHİR BLD.SPOR,5,KOCAELİSPOR,0
HACETTEPE SPOR,0,KAYSERISPOR,3
TRABZONSPOR,2,ESKİŞEHİRSPOR,1
DENİZLİSPOR,1,MKE ANKARAGÜCÜ,1
GENÇLERBİRLİĞİ,1,SIVASSPOR,2
ANTALYASPOR,1,ANKARASPOR A.Ş.,1
GAZİANTEPSPOR,2,BURSASPOR,0
GALATASARAY,4,BESIKTAS,2
ANKARASPOR A.Ş.,3,KONYASPOR,0
SIVASSPOR,2,GALATASARAY,0
ESKİŞEHİRSPOR,1,GAZİANTEPSPOR,1
KAYSERISPOR,1,GENÇLERBİRLİĞİ,3
MKE ANKARAGÜCÜ,0,ANTALYASPOR,1
BESIKTAS,1,DENİZLİSPOR,0
BURSASPOR,2,BÜYÜKŞEHİR BLD.SPOR,0
KOCAELİSPOR,4,HACETTEPE SPOR,0
FENERBAHCE,0,TRABZONSPOR,0
KAYSERISPOR,0,SIVASSPOR,0
KOCAELİSPOR,0,GENÇLERBİRLİĞİ,2
ANKARASPOR A.Ş.,0,TRABZONSPOR,2
DENİZLİSPOR,0,GALATASARAY,2
BURSASPOR,0,HACETTEPE SPOR,0
ESKİŞEHİRSPOR,6,BÜYÜKŞEHİR BLD.SPOR,1
MKE ANKARAGÜCÜ,1,KONYASPOR,3
FENERBAHCE,1,GAZİANTEPSPOR,1
BESIKTAS,1,ANTALYASPOR,0
TRABZONSPOR,2,MKE ANKARAGÜCÜ,1
HACETTEPE SPOR,2,ESKİŞEHİRSPOR,2
SIVASSPOR,2,KOCAELİSPOR,0
GALATASARAY,1,KAYSERISPOR,1
GENÇLERBİRLİĞİ,1,BURSASPOR,2
GAZİANTEPSPOR,2,ANKARASPOR A.Ş.,0
ANTALYASPOR,2,DENİZLİSPOR,1
KONYASPOR,0,BESIKTAS,0
BÜYÜKŞEHİR BLD.SPOR,2,FENERBAHCE,0
ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,0
MKE ANKARAGÜCÜ,3,GAZİANTEPSPOR,1
ANTALYASPOR,1,GALATASARAY,0
FENERBAHCE,7,HACETTEPE SPOR,0
ANKARASPOR A.Ş.,1,BÜYÜKŞEHİR BLD.SPOR,2
DENİZLİSPOR,2,KONYASPOR,1
KOCAELİSPOR,1,KAYSERISPOR,2
BURSASPOR,1,SIVASSPOR,1
BESIKTAS,1,TRABZONSPOR,1
GAZİANTEPSPOR,0,BESIKTAS,3
KONYASPOR,2,ANTALYASPOR,0
BÜYÜKŞEHİR BLD.SPOR,1,MKE ANKARAGÜCÜ,2
KAYSERISPOR,0,BURSASPOR,0
TRABZONSPOR,0,DENİZLİSPOR,2
GENÇLERBİRLİĞİ,1,FENERBAHCE,0
HACETTEPE SPOR,3,ANKARASPOR A.Ş.,1
SIVASSPOR,1,ESKİŞEHİRSPOR,0
GALATASARAY,2,KOCAELİSPOR,5
BESIKTAS,2,BÜYÜKŞEHİR BLD.SPOR,1
ESKİŞEHİRSPOR,1,KAYSERISPOR,0
ANKARASPOR A.Ş.,0,GENÇLERBİRLİĞİ,0
DENİZLİSPOR,2,GAZİANTEPSPOR,0
FENERBAHCE,4,SIVASSPOR,2
BURSASPOR,1,KOCAELİSPOR,1
MKE ANKARAGÜCÜ,1,HACETTEPE SPOR,0
ANTALYASPOR,0,TRABZONSPOR,1
KONYASPOR,0,GALATASARAY,1
GALATASARAY,2,BURSASPOR,1
BÜYÜKŞEHİR BLD.SPOR,0,DENİZLİSPOR,2
GAZİANTEPSPOR,1,ANTALYASPOR,1
TRABZONSPOR,0,KONYASPOR,1
HACETTEPE SPOR,2,BESIKTAS,3
KOCAELİSPOR,1,ESKİŞEHİRSPOR,0
GENÇLERBİRLİĞİ,2,MKE ANKARAGÜCÜ,0
SIVASSPOR,1,ANKARASPOR A.Ş.,1
KAYSERISPOR,0,FENERBAHCE,2
FENERBAHCE,1,KOCAELİSPOR,1
ANTALYASPOR,1,BÜYÜKŞEHİR BLD.SPOR,0
KONYASPOR,2,GAZİANTEPSPOR,3
MKE ANKARAGÜCÜ,0,SIVASSPOR,2
BESIKTAS,3,GENÇLERBİRLİĞİ,0
ESKİŞEHİRSPOR,1,BURSASPOR,2
DENİZLİSPOR,0,HACETTEPE SPOR,0
ANKARASPOR A.Ş.,2,KAYSERISPOR,2
TRABZONSPOR,2,GALATASARAY,2
BURSASPOR,2,FENERBAHCE,1
KOCAELİSPOR,3,ANKARASPOR A.Ş.,1
HACETTEPE SPOR,1,ANTALYASPOR,2
KAYSERISPOR,2,MKE ANKARAGÜCÜ,0
BÜYÜKŞEHİR BLD.SPOR,2,KONYASPOR,0
GAZİANTEPSPOR,3,TRABZONSPOR,2
SIVASSPOR,1,BESIKTAS,1
GENÇLERBİRLİĞİ,0,DENİZLİSPOR,0
GALATASARAY,0,ESKİŞEHİRSPOR,1
KONYASPOR,2,HACETTEPE SPOR,0
ANKARASPOR A.Ş.,0,BURSASPOR,2
DENİZLİSPOR,0,SIVASSPOR,2
BESIKTAS,1,KAYSERISPOR,0
ANTALYASPOR,4,GENÇLERBİRLİĞİ,2
MKE ANKARAGÜCÜ,4,KOCAELİSPOR,0
TRABZONSPOR,0,BÜYÜKŞEHİR BLD.SPOR,0
FENERBAHCE,2,ESKİŞEHİRSPOR,1
GAZİANTEPSPOR,0,GALATASARAY,1
KOCAELİSPOR,1,BESIKTAS,3
BURSASPOR,2,MKE ANKARAGÜCÜ,0
BÜYÜKŞEHİR BLD.SPOR,1,GAZİANTEPSPOR,1
SIVASSPOR,1,ANTALYASPOR,0
HACETTEPE SPOR,1,TRABZONSPOR,4
GENÇLERBİRLİĞİ,1,KONYASPOR,0
KAYSERISPOR,2,DENİZLİSPOR,0
ESKİŞEHİRSPOR,2,ANKARASPOR A.Ş.,0
GALATASARAY,0,FENERBAHCE,0
TRABZONSPOR,2,GENÇLERBİRLİĞİ,0
KONYASPOR,0,SIVASSPOR,0
ANKARASPOR A.Ş.,1,FENERBAHCE,0
MKE ANKARAGÜCÜ,3,ESKİŞEHİRSPOR,2
GAZİANTEPSPOR,0,HACETTEPE SPOR,0
DENİZLİSPOR,2,KOCAELİSPOR,1
ANTALYASPOR,2,KAYSERISPOR,1
BÜYÜKŞEHİR BLD.SPOR,0,GALATASARAY,1
BESIKTAS,0,BURSASPOR,0
HACETTEPE SPOR,2,BÜYÜKŞEHİR BLD.SPOR,1
SIVASSPOR,3,TRABZONSPOR,0
FENERBAHCE,1,MKE ANKARAGÜCÜ,2
GENÇLERBİRLİĞİ,1,GAZİANTEPSPOR,0
KAYSERISPOR,1,KONYASPOR,1
BURSASPOR,2,DENİZLİSPOR,0
KOCAELİSPOR,1,ANTALYASPOR,0
ESKİŞEHİRSPOR,0,BESIKTAS,2
GALATASARAY,1,ANKARASPOR A.Ş.,1
HACETTEPE SPOR,2,GALATASARAY,0
TRABZONSPOR,4,KAYSERISPOR,1
GAZİANTEPSPOR,2,SIVASSPOR,1
ANTALYASPOR,2,BURSASPOR,3
KONYASPOR,2,KOCAELİSPOR,0
BÜYÜKŞEHİR BLD.SPOR,3,GENÇLERBİRLİĞİ,1
MKE ANKARAGÜCÜ,1,ANKARASPOR A.Ş.,0
DENİZLİSPOR,3,ESKİŞEHİRSPOR,2
BESIKTAS,1,FENERBAHCE,2
GENÇLERBİRLİĞİ,3,HACETTEPE SPOR,1
SIVASSPOR,1,BÜYÜKŞEHİR BLD.SPOR,2
ANKARASPOR A.Ş.,1,BESIKTAS,4
FENERBAHCE,1,DENİZLİSPOR,0
GALATASARAY,1,MKE ANKARAGÜCÜ,0
KOCAELİSPOR,1,TRABZONSPOR,3
BURSASPOR,3,KONYASPOR,0
ESKİŞEHİRSPOR,2,ANTALYASPOR,0
KAYSERISPOR,3,GAZİANTEPSPOR,0
HACETTEPE SPOR,1,SIVASSPOR,2
ANTALYASPOR,1,FENERBAHCE,1
GAZİANTEPSPOR,5,KOCAELİSPOR,2
GALATASARAY,2,GENÇLERBİRLİĞİ,1
DENİZLİSPOR,2,ANKARASPOR A.Ş.,0
KONYASPOR,1,ESKİŞEHİRSPOR,2
BÜYÜKŞEHİR BLD.SPOR,1,KAYSERISPOR,0
MKE ANKARAGÜCÜ,1,BESIKTAS,3
TRABZONSPOR,1,BURSASPOR,0
KAYSERISPOR,1,HACETTEPE SPOR,0
KOCAELİSPOR,2,BÜYÜKŞEHİR BLD.SPOR,3
FENERBAHCE,4,KONYASPOR,2
BESIKTAS,2,GALATASARAY,1
MKE ANKARAGÜCÜ,3,DENİZLİSPOR,0
SIVASSPOR,3,GENÇLERBİRLİĞİ,2
BURSASPOR,2,GAZİANTEPSPOR,2
ESKİŞEHİRSPOR,2,TRABZONSPOR,5
ANKARASPOR A.Ş.,0,ANTALYASPOR,0
GAZİANTEPSPOR,1,ESKİŞEHİRSPOR,1
HACETTEPE SPOR,0,KOCAELİSPOR,4
GALATASARAY,2,SIVASSPOR,1
GENÇLERBİRLİĞİ,0,KAYSERISPOR,4
ANTALYASPOR,1,MKE ANKARAGÜCÜ,0
KONYASPOR,3,ANKARASPOR A.Ş.,0
TRABZONSPOR,1,FENERBAHCE,2
BÜYÜKŞEHİR BLD.SPOR,0,BURSASPOR,1
DENİZLİSPOR,1,BESIKTAS,2
BÜYÜKŞEHİR BLD.SPOR,1,BESIKTAS,1
ANTALYASPOR,3,ANKARASPOR A.Ş.,0
DİYARBAKIRSPOR,2,MKE ANKARAGÜCÜ,2
SIVASSPOR,1,TRABZONSPOR,2
GAZİANTEPSPOR,2,GALATASARAY,3
GENÇLERBİRLİĞİ,0,KAYSERISPOR,0
BURSASPOR,2,KASIMPASA,1
MANİSASPOR,0,ESKİŞEHİRSPOR,0
DENİZLİSPOR,0,FENERBAHCE,2
TRABZONSPOR,1,DİYARBAKIRSPOR,2
MKE ANKARAGÜCÜ,1,MANİSASPOR,1
GALATASARAY,4,DENİZLİSPOR,1
ANKARASPOR A.Ş.,0,GENÇLERBİRLİĞİ,3
ESKİŞEHİRSPOR,3,BURSASPOR,2
KAYSERISPOR,1,GAZİANTEPSPOR,1
KASIMPASA,1,BÜYÜKŞEHİR BLD.SPOR,3
FENERBAHCE,3,SIVASSPOR,0
BESIKTAS,2,ANTALYASPOR,0
GENÇLERBİRLİĞİ,0,BESIKTAS,0
BURSASPOR,1,MKE ANKARAGÜCÜ,0
BÜYÜKŞEHİR BLD.SPOR,0,ESKİŞEHİRSPOR,0
GAZİANTEPSPOR,3,ANKARASPOR A.Ş.,0
ANTALYASPOR,2,KASIMPASA,0
GALATASARAY,4,KAYSERISPOR,1
MANİSASPOR,1,TRABZONSPOR,0
DİYARBAKIRSPOR,1,FENERBAHCE,3
DENİZLİSPOR,1,SIVASSPOR,1
BESIKTAS,0,GAZİANTEPSPOR,0
ESKİŞEHİRSPOR,2,ANTALYASPOR,1
MKE ANKARAGÜCÜ,2,BÜYÜKŞEHİR BLD.SPOR,2
KAYSERISPOR,3,DENİZLİSPOR,0
SIVASSPOR,0,DİYARBAKIRSPOR,2
KASIMPASA,0,GENÇLERBİRLİĞİ,4
TRABZONSPOR,1,BURSASPOR,1
FENERBAHCE,2,MANİSASPOR,1
ANKARASPOR A.Ş.,0,GALATASARAY,3
KAYSERISPOR,3,ANKARASPOR A.Ş.,0
GALATASARAY,3,BESIKTAS,0
DENİZLİSPOR,0,DİYARBAKIRSPOR,0
MANİSASPOR,3,SIVASSPOR,1
BÜYÜKŞEHİR BLD.SPOR,1,TRABZONSPOR,6
GAZİANTEPSPOR,1,KASIMPASA,0
GENÇLERBİRLİĞİ,2,ESKİŞEHİRSPOR,2
ANTALYASPOR,1,MKE ANKARAGÜCÜ,0
BURSASPOR,0,FENERBAHCE,1
TRABZONSPOR,3,ANTALYASPOR,1
BESIKTAS,0,KAYSERISPOR,1
ANKARASPOR A.Ş.,0,Kulüpler,3
MKE ANKARAGÜCÜ,1,GENÇLERBİRLİĞİ,2
ESKİŞEHİRSPOR,3,GAZİANTEPSPOR,2
DİYARBAKIRSPOR,0,MANİSASPOR,0
SIVASSPOR,1,BURSASPOR,3
FENERBAHCE,1,BÜYÜKŞEHİR BLD.SPOR,0
KASIMPASA,1,GALATASARAY,3
ANKARASPOR A.Ş.,0,Kulüpler,3
GENÇLERBİRLİĞİ,2,TRABZONSPOR,2
GAZİANTEPSPOR,1,MKE ANKARAGÜCÜ,3
BÜYÜKŞEHİR BLD.SPOR,1,SIVASSPOR,0
ANTALYASPOR,1,FENERBAHCE,2
BURSASPOR,4,DİYARBAKIRSPOR,0
KAYSERISPOR,0,KASIMPASA,0
GALATASARAY,1,ESKİŞEHİRSPOR,1
DENİZLİSPOR,1,MANİSASPOR,1
TRABZONSPOR,0,GAZİANTEPSPOR,0
DİYARBAKIRSPOR,1,BÜYÜKŞEHİR BLD.SPOR,3
MANİSASPOR,0,BURSASPOR,2
BESIKTAS,1,DENİZLİSPOR,0
KASIMPASA,3,Kulüpler,0
ESKİŞEHİRSPOR,0,KAYSERISPOR,1
SIVASSPOR,2,ANTALYASPOR,0
MKE ANKARAGÜCÜ,3,GALATASARAY,0
FENERBAHCE,3,GENÇLERBİRLİĞİ,0
DENİZLİSPOR,2,BURSASPOR,3
BESIKTAS,2,KASIMPASA,1
GENÇLERBİRLİĞİ,2,SIVASSPOR,0
BÜYÜKŞEHİR BLD.SPOR,1,MANİSASPOR,0
KAYSERISPOR,3,MKE ANKARAGÜCÜ,0
GAZİANTEPSPOR,2,FENERBAHCE,1
ANTALYASPOR,4,DİYARBAKIRSPOR,1
GALATASARAY,4,TRABZONSPOR,3
TRABZONSPOR,2,KAYSERISPOR,1
BURSASPOR,6,BÜYÜKŞEHİR BLD.SPOR,0
ESKİŞEHİRSPOR,0,BESIKTAS,1
DİYARBAKIRSPOR,1,GENÇLERBİRLİĞİ,0
KASIMPASA,3,DENİZLİSPOR,1
MANİSASPOR,1,ANTALYASPOR,2
SIVASSPOR,3,GAZİANTEPSPOR,0
FENERBAHCE,3,GALATASARAY,1
ANTALYASPOR,1,BURSASPOR,1
BESIKTAS,1,MKE ANKARAGÜCÜ,0
DENİZLİSPOR,0,BÜYÜKŞEHİR BLD.SPOR,1
GAZİANTEPSPOR,2,DİYARBAKIRSPOR,1
GENÇLERBİRLİĞİ,0,MANİSASPOR,2
KASIMPASA,1,ESKİŞEHİRSPOR,1
GALATASARAY,2,SIVASSPOR,0
KAYSERISPOR,1,FENERBAHCE,1
BURSASPOR,1,GENÇLERBİRLİĞİ,2
BÜYÜKŞEHİR BLD.SPOR,1,ANTALYASPOR,0
TRABZONSPOR,0,BESIKTAS,2
MKE ANKARAGÜCÜ,2,KASIMPASA,2
ESKİŞEHİRSPOR,2,DENİZLİSPOR,0
MANİSASPOR,0,GAZİANTEPSPOR,3
SIVASSPOR,2,KAYSERISPOR,4
DİYARBAKIRSPOR,1,GALATASARAY,2
GAZİANTEPSPOR,0,BURSASPOR,1
BESIKTAS,3,FENERBAHCE,0
KAYSERISPOR,2,DİYARBAKIRSPOR,0
GENÇLERBİRLİĞİ,3,BÜYÜKŞEHİR BLD.SPOR,1
ESKİŞEHİRSPOR,0,MKE ANKARAGÜCÜ,0
DENİZLİSPOR,1,ANTALYASPOR,1
KASIMPASA,3,TRABZONSPOR,1
GALATASARAY,1,MANİSASPOR,1
BURSASPOR,1,GALATASARAY,0
FENERBAHCE,1,KASIMPASA,3
ANTALYASPOR,2,GENÇLERBİRLİĞİ,0
BÜYÜKŞEHİR BLD.SPOR,1,GAZİANTEPSPOR,1
MKE ANKARAGÜCÜ,1,DENİZLİSPOR,0
MANİSASPOR,0,KAYSERISPOR,1
TRABZONSPOR,2,ESKİŞEHİRSPOR,1
SIVASSPOR,0,BESIKTAS,1
BESIKTAS,0,DİYARBAKIRSPOR,0
KASIMPASA,2,SIVASSPOR,2
ESKİŞEHİRSPOR,2,FENERBAHCE,1
GAZİANTEPSPOR,1,ANTALYASPOR,1
KAYSERISPOR,3,BURSASPOR,0
GENÇLERBİRLİĞİ,2,DENİZLİSPOR,0
TRABZONSPOR,3,MKE ANKARAGÜCÜ,0
GALATASARAY,1,BÜYÜKŞEHİR BLD.SPOR,1
ANTALYASPOR,2,GALATASARAY,3
FENERBAHCE,3,MKE ANKARAGÜCÜ,2
BÜYÜKŞEHİR BLD.SPOR,1,KAYSERISPOR,2
DİYARBAKIRSPOR,2,KASIMPASA,2
GENÇLERBİRLİĞİ,1,GAZİANTEPSPOR,1
SIVASSPOR,2,ESKİŞEHİRSPOR,1
DENİZLİSPOR,0,TRABZONSPOR,1
MANİSASPOR,1,BESIKTAS,1
BESIKTAS,2,BURSASPOR,3
GAZİANTEPSPOR,2,DENİZLİSPOR,1
ESKİŞEHİRSPOR,0,DİYARBAKIRSPOR,0
KASIMPASA,3,MANİSASPOR,1
KAYSERISPOR,1,ANTALYASPOR,2
MKE ANKARAGÜCÜ,2,SIVASSPOR,3
GALATASARAY,1,GENÇLERBİRLİĞİ,0
TRABZONSPOR,0,FENERBAHCE,1
FENERBAHCE,3,DENİZLİSPOR,1
ESKİŞEHİRSPOR,1,MANİSASPOR,0
KAYSERISPOR,1,GENÇLERBİRLİĞİ,1
MKE ANKARAGÜCÜ,0,DİYARBAKIRSPOR,0
TRABZONSPOR,3,SIVASSPOR,1
GALATASARAY,1,GAZİANTEPSPOR,0
KASIMPASA,0,BURSASPOR,2
BESIKTAS,2,BÜYÜKŞEHİR BLD.SPOR,0
ANTALYASPOR,0,BESIKTAS,1
BÜYÜKŞEHİR BLD.SPOR,4,KASIMPASA,2
DİYARBAKIRSPOR,1,TRABZONSPOR,2
MANİSASPOR,0,MKE ANKARAGÜCÜ,0
BURSASPOR,3,ESKİŞEHİRSPOR,1
GAZİANTEPSPOR,0,KAYSERISPOR,1
SIVASSPOR,1,FENERBAHCE,5
DENİZLİSPOR,1,GALATASARAY,2
BESIKTAS,4,GENÇLERBİRLİĞİ,1
ESKİŞEHİRSPOR,2,BÜYÜKŞEHİR BLD.SPOR,1
KAYSERISPOR,0,GALATASARAY,0
SIVASSPOR,2,DENİZLİSPOR,0
MKE ANKARAGÜCÜ,0,BURSASPOR,0
KASIMPASA,2,ANTALYASPOR,2
TRABZONSPOR,3,MANİSASPOR,0
FENERBAHCE,1,DİYARBAKIRSPOR,1
DİYARBAKIRSPOR,1,SIVASSPOR,1
GAZİANTEPSPOR,2,BESIKTAS,0
ANTALYASPOR,1,ESKİŞEHİRSPOR,2
BÜYÜKŞEHİR BLD.SPOR,1,MKE ANKARAGÜCÜ,1
GENÇLERBİRLİĞİ,0,KASIMPASA,2
DENİZLİSPOR,1,KAYSERISPOR,0
MANİSASPOR,2,FENERBAHCE,2
BURSASPOR,1,TRABZONSPOR,1
SIVASSPOR,1,MANİSASPOR,0
ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,0
TRABZONSPOR,0,BÜYÜKŞEHİR BLD.SPOR,0
KASIMPASA,3,GAZİANTEPSPOR,0
DİYARBAKIRSPOR,0,DENİZLİSPOR,2
MKE ANKARAGÜCÜ,2,ANTALYASPOR,2
BESIKTAS,1,GALATASARAY,1
FENERBAHCE,2,BURSASPOR,3
ANTALYASPOR,1,TRABZONSPOR,1
BURSASPOR,3,SIVASSPOR,0
KAYSERISPOR,1,BESIKTAS,2
GENÇLERBİRLİĞİ,0,MKE ANKARAGÜCÜ,1
GAZİANTEPSPOR,1,ESKİŞEHİRSPOR,1
MANİSASPOR,2,DİYARBAKIRSPOR,1
BÜYÜKŞEHİR BLD.SPOR,2,FENERBAHCE,1
GALATASARAY,4,KASIMPASA,1
SIVASSPOR,0,BÜYÜKŞEHİR BLD.SPOR,1
KASIMPASA,2,KAYSERISPOR,2
DİYARBAKIRSPOR,0,BURSASPOR,3
TRABZONSPOR,3,GENÇLERBİRLİĞİ,1
MKE ANKARAGÜCÜ,0,GAZİANTEPSPOR,0
MANİSASPOR,0,DENİZLİSPOR,0
FENERBAHCE,1,ANTALYASPOR,0
ESKİŞEHİRSPOR,2,GALATASARAY,1
GAZİANTEPSPOR,1,TRABZONSPOR,1
GENÇLERBİRLİĞİ,0,FENERBAHCE,0
KAYSERISPOR,1,ESKİŞEHİRSPOR,2
ANTALYASPOR,3,SIVASSPOR,0
BÜYÜKŞEHİR BLD.SPOR,1,DİYARBAKIRSPOR,0
BURSASPOR,2,MANİSASPOR,0
GALATASARAY,3,MKE ANKARAGÜCÜ,0
DENİZLİSPOR,0,BESIKTAS,1
KASIMPASA,2,BESIKTAS,2
DİYARBAKIRSPOR,1,ANTALYASPOR,0
MANİSASPOR,1,BÜYÜKŞEHİR BLD.SPOR,0
FENERBAHCE,1,GAZİANTEPSPOR,0
SIVASSPOR,0,GENÇLERBİRLİĞİ,2
MKE ANKARAGÜCÜ,3,KAYSERISPOR,0
TRABZONSPOR,1,GALATASARAY,0
BURSASPOR,2,DENİZLİSPOR,1
BÜYÜKŞEHİR BLD.SPOR,2,BURSASPOR,1
GENÇLERBİRLİĞİ,1,DİYARBAKIRSPOR,0
BESIKTAS,3,ESKİŞEHİRSPOR,2
DENİZLİSPOR,3,KASIMPASA,3
ANTALYASPOR,0,MANİSASPOR,0
GAZİANTEPSPOR,2,SIVASSPOR,2
GALATASARAY,0,FENERBAHCE,1
KAYSERISPOR,1,TRABZONSPOR,0
MKE ANKARAGÜCÜ,0,BESIKTAS,0
BÜYÜKŞEHİR BLD.SPOR,3,DENİZLİSPOR,1
BURSASPOR,2,ANTALYASPOR,1
DİYARBAKIRSPOR,1,GAZİANTEPSPOR,3
MANİSASPOR,0,GENÇLERBİRLİĞİ,0
ESKİŞEHİRSPOR,2,KASIMPASA,0
FENERBAHCE,2,KAYSERISPOR,0
SIVASSPOR,1,GALATASARAY,1
GAZİANTEPSPOR,0,MANİSASPOR,0
ANTALYASPOR,1,BÜYÜKŞEHİR BLD.SPOR,3
BESIKTAS,0,TRABZONSPOR,0
GENÇLERBİRLİĞİ,0,BURSASPOR,0
KASIMPASA,2,MKE ANKARAGÜCÜ,0
DENİZLİSPOR,1,ESKİŞEHİRSPOR,0
GALATASARAY,4,DİYARBAKIRSPOR,1
KAYSERISPOR,2,SIVASSPOR,2
BURSASPOR,2,GAZİANTEPSPOR,0
BÜYÜKŞEHİR BLD.SPOR,1,GENÇLERBİRLİĞİ,3
MANİSASPOR,1,GALATASARAY,2
MKE ANKARAGÜCÜ,3,ESKİŞEHİRSPOR,1
DİYARBAKIRSPOR,0,KAYSERISPOR,3
ANTALYASPOR,2,DENİZLİSPOR,1
FENERBAHCE,1,BESIKTAS,0
TRABZONSPOR,2,KASIMPASA,0
GENÇLERBİRLİĞİ,0,ANTALYASPOR,2
DENİZLİSPOR,0,MKE ANKARAGÜCÜ,0
KAYSERISPOR,1,MANİSASPOR,2
BESIKTAS,2,SIVASSPOR,2
GAZİANTEPSPOR,2,BÜYÜKŞEHİR BLD.SPOR,3
KASIMPASA,0,FENERBAHCE,1
GALATASARAY,0,BURSASPOR,0
ESKİŞEHİRSPOR,1,TRABZONSPOR,0
MKE ANKARAGÜCÜ,1,TRABZONSPOR,0
BURSASPOR,2,KAYSERISPOR,0
FENERBAHCE,2,ESKİŞEHİRSPOR,0
BÜYÜKŞEHİR BLD.SPOR,0,GALATASARAY,1
ANTALYASPOR,1,GAZİANTEPSPOR,0
DENİZLİSPOR,2,GENÇLERBİRLİĞİ,0
SIVASSPOR,1,KASIMPASA,1
DİYARBAKIRSPOR,1,BESIKTAS,3
