macNo,ev,evGol,dep,depGol
1395,GAZIANTEPFK,0,BESIKTAS,0
1396,KAYSERISPOR,0,GALATASARAY,0
1397,ANKARAGUCU,0,KAYSERISPOR,4
1398,RIZESPOR,2,FENERBAHCE,1
1399,BESIKTAS,2,DENİZLİSPOR,0
1400,ANTALYASPOR,1,KONYASPOR,0
1401,GENÇLERBİRLİĞİ,1,BURSASPOR,0
1402,KAYSERİ ERCİYESSPOR,1,ANKARASPOR A.Ş.,0
1403,SAKARYASPOR A.Ş.,1,SIVASSPOR,3
1404,TRABZONSPOR,2,GAZIANTEPFK,0
1405,GALATASARAY,4,VESTEL MANİSASPOR,0
1406,KONYASPOR,2,BESIKTAS,1
1407,BURSASPOR,1,RIZESPOR,0
1408,GAZIANTEPFK,1,GALATASARAY,0
1409,KAYSERISPOR,1,KAYSERİ ERCİYESSPOR,0
1410,SIVASSPOR,0,ANTALYASPOR,1
1411,ANKARASPOR A.Ş.,1,GENÇLERBİRLİĞİ,2
1412,VESTEL MANİSASPOR,0,ANKARAGUCU,1
1413,DENİZLİSPOR,3,TRABZONSPOR,4
1414,FENERBAHCE,1,SAKARYASPOR A.Ş.,0
1415,GALATASARAY,1,DENİZLİSPOR,1
1416,KAYSERİ ERCİYESSPOR,1,VESTEL MANİSASPOR,0
1417,ANKARAGUCU,2,GAZIANTEPFK,1
1418,TRABZONSPOR,3,BESIKTAS,2
1419,SIVASSPOR,1,KONYASPOR,3
1420,RIZESPOR,1,ANKARASPOR A.Ş.,1
1421,SAKARYASPOR A.Ş.,1,BURSASPOR,3
1422,GENÇLERBİRLİĞİ,2,KAYSERISPOR,2
1423,ANTALYASPOR,1,FENERBAHCE,0
1424,BURSASPOR,0,ANTALYASPOR,0
1425,DENİZLİSPOR,1,ANKARAGUCU,0
1426,KAYSERISPOR,1,RIZESPOR,0
1427,BESIKTAS,2,GALATASARAY,1
1428,ANKARASPOR A.Ş.,1,SAKARYASPOR A.Ş.,0
1429,VESTEL MANİSASPOR,0,GENÇLERBİRLİĞİ,3
1430,GAZIANTEPFK,0,KAYSERİ ERCİYESSPOR,1
1431,KONYASPOR,1,TRABZONSPOR,2
1432,FENERBAHCE,2,SIVASSPOR,2
1433,SAKARYASPOR A.Ş.,3,KAYSERISPOR,3
1434,GENÇLERBİRLİĞİ,0,GAZIANTEPFK,0
1435,SIVASSPOR,3,BURSASPOR,1
1436,FENERBAHCE,3,KONYASPOR,0
1437,ANTALYASPOR,1,ANKARASPOR A.Ş.,1
1438,RIZESPOR,3,VESTEL MANİSASPOR,1
1439,KAYSERİ ERCİYESSPOR,2,DENİZLİSPOR,0
1440,ANKARAGUCU,0,BESIKTAS,1
1441,GALATASARAY,2,TRABZONSPOR,1
1442,KONYASPOR,2,GALATASARAY,2
1443,VESTEL MANİSASPOR,0,SAKARYASPOR A.Ş.,3
1444,KAYSERISPOR,4,ANTALYASPOR,4
1445,DENİZLİSPOR,3,GENÇLERBİRLİĞİ,2
1446,TRABZONSPOR,0,ANKARAGUCU,1
1447,ANKARASPOR A.Ş.,2,SIVASSPOR,1
1448,GAZIANTEPFK,1,RIZESPOR,0
1449,BURSASPOR,0,FENERBAHCE,4
1450,BESIKTAS,1,KAYSERİ ERCİYESSPOR,0
1451,SIVASSPOR,3,KAYSERISPOR,2
1452,RIZESPOR,2,DENİZLİSPOR,2
1453,SAKARYASPOR A.Ş.,1,GAZIANTEPFK,2
1454,ANTALYASPOR,1,VESTEL MANİSASPOR,0
1455,FENERBAHCE,2,ANKARASPOR A.Ş.,1
1456,BURSASPOR,1,KONYASPOR,0
1457,ANKARAGUCU,1,GALATASARAY,2
1458,KAYSERİ ERCİYESSPOR,0,TRABZONSPOR,1
1459,GENÇLERBİRLİĞİ,0,BESIKTAS,2
1460,GALATASARAY,0,KAYSERİ ERCİYESSPOR,1
1461,TRABZONSPOR,4,GENÇLERBİRLİĞİ,3
1462,KAYSERISPOR,2,FENERBAHCE,2
1463,BESIKTAS,1,RIZESPOR,0
1464,VESTEL MANİSASPOR,1,SIVASSPOR,0
1465,DENİZLİSPOR,1,SAKARYASPOR A.Ş.,0
1466,KONYASPOR,2,ANKARAGUCU,0
1467,ANKARASPOR A.Ş.,0,BURSASPOR,0
1468,GAZIANTEPFK,0,ANTALYASPOR,0
1469,GENÇLERBİRLİĞİ,1,GALATASARAY,3
1470,SAKARYASPOR A.Ş.,1,BESIKTAS,1
1471,RIZESPOR,3,TRABZONSPOR,2
1472,ANKARASPOR A.Ş.,4,KONYASPOR,2
1473,SIVASSPOR,2,GAZIANTEPFK,1
1474,BURSASPOR,0,KAYSERISPOR,3
1475,KAYSERİ ERCİYESSPOR,0,ANKARAGUCU,1
1476,ANTALYASPOR,1,DENİZLİSPOR,1
1477,FENERBAHCE,0,VESTEL MANİSASPOR,0
1478,GAZIANTEPFK,0,FENERBAHCE,2
1479,TRABZONSPOR,5,SAKARYASPOR A.Ş.,2
1480,KONYASPOR,1,KAYSERİ ERCİYESSPOR,1
1481,BESIKTAS,1,ANTALYASPOR,0
1482,VESTEL MANİSASPOR,4,BURSASPOR,1
1483,DENİZLİSPOR,2,SIVASSPOR,0
1484,ANKARAGUCU,0,GENÇLERBİRLİĞİ,0
1485,KAYSERISPOR,3,ANKARASPOR A.Ş.,3
1486,GALATASARAY,3,RIZESPOR,1
1487,BURSASPOR,1,GAZIANTEPFK,1
1488,ANKARASPOR A.Ş.,1,VESTEL MANİSASPOR,1
1489,GENÇLERBİRLİĞİ,1,KAYSERİ ERCİYESSPOR,2
1490,RIZESPOR,3,ANKARAGUCU,1
1491,KAYSERISPOR,2,KONYASPOR,1
1492,ANTALYASPOR,1,TRABZONSPOR,2
1493,SAKARYASPOR A.Ş.,0,GALATASARAY,3
1494,SIVASSPOR,0,BESIKTAS,1
1495,FENERBAHCE,2,DENİZLİSPOR,2
1496,TRABZONSPOR,2,SIVASSPOR,0
1497,VESTEL MANİSASPOR,1,KAYSERISPOR,0
1498,GAZIANTEPFK,0,ANKARASPOR A.Ş.,2
1499,KAYSERİ ERCİYESSPOR,1,RIZESPOR,1
1500,ANKARAGUCU,1,SAKARYASPOR A.Ş.,0
1501,KONYASPOR,2,GENÇLERBİRLİĞİ,1
1502,DENİZLİSPOR,0,BURSASPOR,0
1503,BESIKTAS,0,FENERBAHCE,1
1504,GALATASARAY,1,ANTALYASPOR,1
1505,KAYSERISPOR,1,GAZIANTEPFK,2
1506,ANTALYASPOR,0,ANKARAGUCU,1
1507,BURSASPOR,3,BESIKTAS,0
1508,KONYASPOR,1,VESTEL MANİSASPOR,0
1509,SAKARYASPOR A.Ş.,1,KAYSERİ ERCİYESSPOR,2
1510,SIVASSPOR,1,GALATASARAY,1
1511,FENERBAHCE,2,TRABZONSPOR,2
1512,ANKARASPOR A.Ş.,1,DENİZLİSPOR,1
1513,GENÇLERBİRLİĞİ,2,RIZESPOR,1
1514,BESIKTAS,2,ANKARASPOR A.Ş.,1
1515,GENÇLERBİRLİĞİ,1,SAKARYASPOR A.Ş.,0
1516,GALATASARAY,1,FENERBAHCE,2
1517,ANKARAGUCU,1,SIVASSPOR,4
1518,RIZESPOR,1,KONYASPOR,0
1519,GAZIANTEPFK,0,VESTEL MANİSASPOR,0
1520,DENİZLİSPOR,2,KAYSERISPOR,1
1521,TRABZONSPOR,3,BURSASPOR,1
1522,KAYSERİ ERCİYESSPOR,0,ANTALYASPOR,0
1523,BURSASPOR,2,GALATASARAY,0
1524,ANKARASPOR A.Ş.,2,TRABZONSPOR,1
1525,KAYSERISPOR,3,BESIKTAS,0
1526,KONYASPOR,0,GAZIANTEPFK,2
1527,VESTEL MANİSASPOR,0,DENİZLİSPOR,0
1528,ANTALYASPOR,1,GENÇLERBİRLİĞİ,3
1529,SIVASSPOR,2,KAYSERİ ERCİYESSPOR,1
1530,SAKARYASPOR A.Ş.,1,RIZESPOR,1
1531,FENERBAHCE,3,ANKARAGUCU,1
1532,GALATASARAY,4,DENİZLİSPOR,1
1533,SIVASSPOR,0,KAYSERISPOR,0
1534,HACETTEPE SPOR,1,BURSASPOR,2
1535,BÜYÜKŞEHİR BLD.SPOR,0,ESKİŞEHİRSPOR,0
1536,GAZIANTEPFK,1,FENERBAHCE,0
1537,TRABZONSPOR,2,ANKARASPOR A.Ş.,0
1538,GENÇLERBİRLİĞİ,1,KOCAELİSPOR,1
1539,KONYASPOR,3,ANKARAGUCU,2
1540,ANTALYASPOR,2,BESIKTAS,3
1541,ANKARAGUCU,1,TRABZONSPOR,2
1542,ANKARASPOR A.Ş.,0,GAZIANTEPFK,2
1543,KOCAELİSPOR,0,SIVASSPOR,2
1544,FENERBAHCE,2,BÜYÜKŞEHİR BLD.SPOR,0
1545,BURSASPOR,2,GENÇLERBİRLİĞİ,0
1546,ESKİŞEHİRSPOR,0,HACETTEPE SPOR,0
1547,KAYSERISPOR,0,GALATASARAY,0
1548,DENİZLİSPOR,3,ANTALYASPOR,2
1549,BESIKTAS,2,KONYASPOR,0
1550,HACETTEPE SPOR,2,FENERBAHCE,1
1551,KONYASPOR,1,DENİZLİSPOR,1
1552,KAYSERISPOR,1,KOCAELİSPOR,0
1553,GALATASARAY,1,ANTALYASPOR,1
1554,SIVASSPOR,3,BURSASPOR,1
1555,GENÇLERBİRLİĞİ,3,ESKİŞEHİRSPOR,1
1556,GAZIANTEPFK,2,ANKARAGUCU,2
1557,BÜYÜKŞEHİR BLD.SPOR,1,ANKARASPOR A.Ş.,2
1558,TRABZONSPOR,0,BESIKTAS,0
1559,DENİZLİSPOR,0,TRABZONSPOR,1
1560,ESKİŞEHİRSPOR,2,SIVASSPOR,2
1561,ANKARAGUCU,0,BÜYÜKŞEHİR BLD.SPOR,0
1562,FENERBAHCE,3,GENÇLERBİRLİĞİ,0
1563,KOCAELİSPOR,1,GALATASARAY,4
1564,ANKARASPOR A.Ş.,4,HACETTEPE SPOR,0
1565,ANTALYASPOR,0,KONYASPOR,1
1566,BURSASPOR,1,KAYSERISPOR,0
1567,BESIKTAS,3,GAZIANTEPFK,0
1568,SIVASSPOR,2,FENERBAHCE,1
1569,BÜYÜKŞEHİR BLD.SPOR,1,BESIKTAS,1
1570,KOCAELİSPOR,2,BURSASPOR,3
1571,GENÇLERBİRLİĞİ,1,ANKARASPOR A.Ş.,1
1572,TRABZONSPOR,3,ANTALYASPOR,2
1573,KAYSERISPOR,1,ESKİŞEHİRSPOR,0
1574,HACETTEPE SPOR,0,ANKARAGUCU,1
1575,GAZIANTEPFK,2,DENİZLİSPOR,1
1576,GALATASARAY,4,KONYASPOR,1
1577,ANKARASPOR A.Ş.,2,SIVASSPOR,0
1578,ANTALYASPOR,1,GAZIANTEPFK,4
1579,KONYASPOR,2,TRABZONSPOR,3
1580,DENİZLİSPOR,2,BÜYÜKŞEHİR BLD.SPOR,1
1581,BURSASPOR,2,GALATASARAY,1
1582,ESKİŞEHİRSPOR,2,KOCAELİSPOR,1
1583,ANKARAGUCU,0,GENÇLERBİRLİĞİ,2
1584,FENERBAHCE,1,KAYSERISPOR,4
1585,BESIKTAS,2,HACETTEPE SPOR,1
1586,BÜYÜKŞEHİR BLD.SPOR,2,ANTALYASPOR,1
1587,HACETTEPE SPOR,1,DENİZLİSPOR,0
1588,BURSASPOR,1,ESKİŞEHİRSPOR,2
1589,KOCAELİSPOR,2,FENERBAHCE,3
1590,SIVASSPOR,3,ANKARAGUCU,0
1591,GAZIANTEPFK,0,KONYASPOR,1
1592,KAYSERISPOR,1,ANKARASPOR A.Ş.,2
1593,GENÇLERBİRLİĞİ,1,BESIKTAS,3
1594,GALATASARAY,3,TRABZONSPOR,0
1595,BESIKTAS,1,SIVASSPOR,1
1596,DENİZLİSPOR,2,GENÇLERBİRLİĞİ,2
1597,ANKARASPOR A.Ş.,4,KOCAELİSPOR,0
1598,FENERBAHCE,5,BURSASPOR,2
1599,ANTALYASPOR,1,HACETTEPE SPOR,1
1600,ANKARAGUCU,1,KAYSERISPOR,3
1601,KONYASPOR,1,BÜYÜKŞEHİR BLD.SPOR,2
1602,TRABZONSPOR,1,GAZIANTEPFK,1
1603,ESKİŞEHİRSPOR,4,GALATASARAY,2
1604,HACETTEPE SPOR,1,KONYASPOR,2
1605,BÜYÜKŞEHİR BLD.SPOR,0,TRABZONSPOR,4
1606,ESKİŞEHİRSPOR,2,FENERBAHCE,2
1607,SIVASSPOR,3,DENİZLİSPOR,1
1608,GENÇLERBİRLİĞİ,1,ANTALYASPOR,2
1609,BURSASPOR,0,ANKARASPOR A.Ş.,1
1610,KOCAELİSPOR,1,ANKARAGUCU,1
1611,KAYSERISPOR,1,BESIKTAS,0
1612,GALATASARAY,3,GAZIANTEPFK,1
1613,BESIKTAS,5,KOCAELİSPOR,2
1614,ANKARAGUCU,1,BURSASPOR,1
1615,TRABZONSPOR,1,HACETTEPE SPOR,0
1616,KONYASPOR,2,GENÇLERBİRLİĞİ,2
1617,DENİZLİSPOR,1,KAYSERISPOR,0
1618,ANKARASPOR A.Ş.,2,ESKİŞEHİRSPOR,0
1619,GAZIANTEPFK,1,BÜYÜKŞEHİR BLD.SPOR,4
1620,ANTALYASPOR,2,SIVASSPOR,1
1621,FENERBAHCE,4,GALATASARAY,1
1622,GENÇLERBİRLİĞİ,0,TRABZONSPOR,1
1623,KOCAELİSPOR,3,DENİZLİSPOR,2
1624,FENERBAHCE,2,ANKARASPOR A.Ş.,0
1625,ESKİŞEHİRSPOR,1,ANKARAGUCU,3
1626,SIVASSPOR,1,KONYASPOR,0
1627,HACETTEPE SPOR,0,GAZIANTEPFK,0
1628,KAYSERISPOR,0,ANTALYASPOR,0
1629,BURSASPOR,0,BESIKTAS,0
1630,GALATASARAY,2,BÜYÜKŞEHİR BLD.SPOR,0
1631,GAZIANTEPFK,2,GENÇLERBİRLİĞİ,0
1632,ANTALYASPOR,0,KOCAELİSPOR,0
1633,ANKARAGUCU,0,FENERBAHCE,0
1634,ANKARASPOR A.Ş.,0,GALATASARAY,0
1635,KONYASPOR,0,KAYSERISPOR,0
1636,DENİZLİSPOR,4,BURSASPOR,3
1637,BÜYÜKŞEHİR BLD.SPOR,1,HACETTEPE SPOR,0
1638,TRABZONSPOR,0,SIVASSPOR,0
1639,BESIKTAS,2,ESKİŞEHİRSPOR,0
1640,KAYSERISPOR,1,TRABZONSPOR,1
1641,ANKARASPOR A.Ş.,0,ANKARAGUCU,1
1642,ESKİŞEHİRSPOR,4,DENİZLİSPOR,3
1643,SIVASSPOR,3,GAZIANTEPFK,0
1644,FENERBAHCE,2,BESIKTAS,1
1645,BURSASPOR,1,ANTALYASPOR,1
1646,KOCAELİSPOR,3,KONYASPOR,0
1647,GENÇLERBİRLİĞİ,0,BÜYÜKŞEHİR BLD.SPOR,0
1648,GALATASARAY,3,HACETTEPE SPOR,1
1649,DENİZLİSPOR,0,FENERBAHCE,1
1650,HACETTEPE SPOR,0,GENÇLERBİRLİĞİ,3
1651,GAZIANTEPFK,0,KAYSERISPOR,0
1652,ANTALYASPOR,0,ESKİŞEHİRSPOR,0
1653,BESIKTAS,1,ANKARASPOR A.Ş.,3
1654,BÜYÜKŞEHİR BLD.SPOR,0,SIVASSPOR,3
1655,KONYASPOR,0,BURSASPOR,0
1656,TRABZONSPOR,2,KOCAELİSPOR,1
1657,ANKARAGUCU,0,GALATASARAY,3
1658,GENÇLERBİRLİĞİ,1,GALATASARAY,3
1659,SIVASSPOR,2,HACETTEPE SPOR,1
1660,KAYSERISPOR,2,BÜYÜKŞEHİR BLD.SPOR,0
1661,BURSASPOR,2,TRABZONSPOR,1
1662,BESIKTAS,1,ANKARAGUCU,0
1663,KOCAELİSPOR,2,GAZIANTEPFK,5
1664,ANKARASPOR A.Ş.,2,DENİZLİSPOR,0
1665,ESKİŞEHİRSPOR,0,KONYASPOR,0
1666,FENERBAHCE,2,ANTALYASPOR,0
1667,KONYASPOR,1,FENERBAHCE,2
1668,BÜYÜKŞEHİR BLD.SPOR,5,KOCAELİSPOR,0
1669,HACETTEPE SPOR,0,KAYSERISPOR,3
1670,TRABZONSPOR,2,ESKİŞEHİRSPOR,1
1671,DENİZLİSPOR,1,ANKARAGUCU,1
1672,GENÇLERBİRLİĞİ,1,SIVASSPOR,2
1673,ANTALYASPOR,1,ANKARASPOR A.Ş.,1
1674,GAZIANTEPFK,2,BURSASPOR,0
1675,GALATASARAY,4,BESIKTAS,2
1676,ANKARASPOR A.Ş.,3,KONYASPOR,0
1677,SIVASSPOR,2,GALATASARAY,0
1678,ESKİŞEHİRSPOR,1,GAZIANTEPFK,1
1679,KAYSERISPOR,1,GENÇLERBİRLİĞİ,3
1680,ANKARAGUCU,0,ANTALYASPOR,1
1681,BESIKTAS,1,DENİZLİSPOR,0
1682,BURSASPOR,2,BÜYÜKŞEHİR BLD.SPOR,0
1683,KOCAELİSPOR,4,HACETTEPE SPOR,0
1684,FENERBAHCE,0,TRABZONSPOR,0
1685,KAYSERISPOR,0,SIVASSPOR,0
1686,KOCAELİSPOR,0,GENÇLERBİRLİĞİ,2
1687,ANKARASPOR A.Ş.,0,TRABZONSPOR,2
1688,DENİZLİSPOR,0,GALATASARAY,2
1689,BURSASPOR,0,HACETTEPE SPOR,0
1690,ESKİŞEHİRSPOR,6,BÜYÜKŞEHİR BLD.SPOR,1
1691,ANKARAGUCU,1,KONYASPOR,3
1692,FENERBAHCE,1,GAZIANTEPFK,1
1693,BESIKTAS,1,ANTALYASPOR,0
1694,TRABZONSPOR,2,ANKARAGUCU,1
1695,HACETTEPE SPOR,2,ESKİŞEHİRSPOR,2
1696,SIVASSPOR,2,KOCAELİSPOR,0
1697,GALATASARAY,1,KAYSERISPOR,1
1698,GENÇLERBİRLİĞİ,1,BURSASPOR,2
1699,GAZIANTEPFK,2,ANKARASPOR A.Ş.,0
1700,ANTALYASPOR,2,DENİZLİSPOR,1
1701,KONYASPOR,0,BESIKTAS,0
1702,BÜYÜKŞEHİR BLD.SPOR,2,FENERBAHCE,0
1703,ESKİŞEHİRSPOR,0,GENÇLERBİRLİĞİ,0
1704,ANKARAGUCU,3,GAZIANTEPFK,1
1705,ANTALYASPOR,1,GALATASARAY,0
1706,FENERBAHCE,7,HACETTEPE SPOR,0
1707,ANKARASPOR A.Ş.,1,BÜYÜKŞEHİR BLD.SPOR,2
1708,DENİZLİSPOR,2,KONYASPOR,1
1709,KOCAELİSPOR,1,KAYSERISPOR,2
1710,BURSASPOR,1,SIVASSPOR,1
1711,BESIKTAS,1,TRABZONSPOR,1
1712,GAZIANTEPFK,0,BESIKTAS,3
1713,KONYASPOR,2,ANTALYASPOR,0
1714,BÜYÜKŞEHİR BLD.SPOR,1,ANKARAGUCU,2
1715,KAYSERISPOR,0,BURSASPOR,0
1716,TRABZONSPOR,0,DENİZLİSPOR,2
1717,GENÇLERBİRLİĞİ,1,FENERBAHCE,0
1718,HACETTEPE SPOR,3,ANKARASPOR A.Ş.,1
1719,SIVASSPOR,1,ESKİŞEHİRSPOR,0
1720,GALATASARAY,2,KOCAELİSPOR,5
1721,BESIKTAS,2,BÜYÜKŞEHİR BLD.SPOR,1
1722,ESKİŞEHİRSPOR,1,KAYSERISPOR,0
1723,ANKARASPOR A.Ş.,0,GENÇLERBİRLİĞİ,0
1724,DENİZLİSPOR,2,GAZIANTEPFK,0
1725,FENERBAHCE,4,SIVASSPOR,2
1726,BURSASPOR,1,KOCAELİSPOR,1
1727,ANKARAGUCU,1,HACETTEPE SPOR,0
1728,ANTALYASPOR,0,TRABZONSPOR,1
1729,KONYASPOR,0,GALATASARAY,1
1730,GALATASARAY,2,BURSASPOR,1
1731,BÜYÜKŞEHİR BLD.SPOR,0,DENİZLİSPOR,2
1732,GAZIANTEPFK,1,ANTALYASPOR,1
1733,TRABZONSPOR,0,KONYASPOR,1
1734,HACETTEPE SPOR,2,BESIKTAS,3
1735,KOCAELİSPOR,1,ESKİŞEHİRSPOR,0
1736,GENÇLERBİRLİĞİ,2,ANKARAGUCU,0
1737,SIVASSPOR,1,ANKARASPOR A.Ş.,1
1738,KAYSERISPOR,0,FENERBAHCE,2
1739,FENERBAHCE,1,KOCAELİSPOR,1
1740,ANTALYASPOR,1,BÜYÜKŞEHİR BLD.SPOR,0
1741,KONYASPOR,2,GAZIANTEPFK,3
1742,ANKARAGUCU,0,SIVASSPOR,2
1743,BESIKTAS,3,GENÇLERBİRLİĞİ,0
1744,ESKİŞEHİRSPOR,1,BURSASPOR,2
1745,DENİZLİSPOR,0,HACETTEPE SPOR,0
1746,ANKARASPOR A.Ş.,2,KAYSERISPOR,2
1747,TRABZONSPOR,2,GALATASARAY,2
1748,BURSASPOR,2,FENERBAHCE,1
1749,KOCAELİSPOR,3,ANKARASPOR A.Ş.,1
1750,HACETTEPE SPOR,1,ANTALYASPOR,2
1751,KAYSERISPOR,2,ANKARAGUCU,0
1752,BÜYÜKŞEHİR BLD.SPOR,2,KONYASPOR,0
1753,GAZIANTEPFK,3,TRABZONSPOR,2
1754,SIVASSPOR,1,BESIKTAS,1
1755,GENÇLERBİRLİĞİ,0,DENİZLİSPOR,0
1756,GALATASARAY,0,ESKİŞEHİRSPOR,1
1757,KONYASPOR,2,HACETTEPE SPOR,0
1758,ANKARASPOR A.Ş.,0,BURSASPOR,2
1759,DENİZLİSPOR,0,SIVASSPOR,2
1760,BESIKTAS,1,KAYSERISPOR,0
1761,ANTALYASPOR,4,GENÇLERBİRLİĞİ,2
1762,ANKARAGUCU,4,KOCAELİSPOR,0
1763,TRABZONSPOR,0,BÜYÜKŞEHİR BLD.SPOR,0
1764,FENERBAHCE,2,ESKİŞEHİRSPOR,1
1765,GAZIANTEPFK,0,GALATASARAY,1
1766,KOCAELİSPOR,1,BESIKTAS,3
1767,BURSASPOR,2,ANKARAGUCU,0
1768,BÜYÜKŞEHİR BLD.SPOR,1,GAZIANTEPFK,1
1769,SIVASSPOR,1,ANTALYASPOR,0
1770,HACETTEPE SPOR,1,TRABZONSPOR,4
1771,GENÇLERBİRLİĞİ,1,KONYASPOR,0
1772,KAYSERISPOR,2,DENİZLİSPOR,0
1773,ESKİŞEHİRSPOR,2,ANKARASPOR A.Ş.,0
1774,GALATASARAY,0,FENERBAHCE,0
1775,TRABZONSPOR,2,GENÇLERBİRLİĞİ,0
1776,KONYASPOR,0,SIVASSPOR,0
1777,ANKARASPOR A.Ş.,1,FENERBAHCE,0
1778,ANKARAGUCU,3,ESKİŞEHİRSPOR,2
1779,GAZIANTEPFK,0,HACETTEPE SPOR,0
1780,DENİZLİSPOR,2,KOCAELİSPOR,1
1781,ANTALYASPOR,2,KAYSERISPOR,1
1782,BÜYÜKŞEHİR BLD.SPOR,0,GALATASARAY,1
1783,BESIKTAS,0,BURSASPOR,0
1784,HACETTEPE SPOR,2,BÜYÜKŞEHİR BLD.SPOR,1
1785,SIVASSPOR,3,TRABZONSPOR,0
1786,FENERBAHCE,1,ANKARAGUCU,2
1787,GENÇLERBİRLİĞİ,1,GAZIANTEPFK,0
1788,KAYSERISPOR,1,KONYASPOR,1
1789,BURSASPOR,2,DENİZLİSPOR,0
1790,KOCAELİSPOR,1,ANTALYASPOR,0
1791,ESKİŞEHİRSPOR,0,BESIKTAS,2
1792,GALATASARAY,1,ANKARASPOR A.Ş.,1
1793,HACETTEPE SPOR,2,GALATASARAY,0
1794,TRABZONSPOR,4,KAYSERISPOR,1
1795,GAZIANTEPFK,2,SIVASSPOR,1
1796,ANTALYASPOR,2,BURSASPOR,3
1797,KONYASPOR,2,KOCAELİSPOR,0
1798,BÜYÜKŞEHİR BLD.SPOR,3,GENÇLERBİRLİĞİ,1
1799,ANKARAGUCU,1,ANKARASPOR A.Ş.,0
1800,DENİZLİSPOR,3,ESKİŞEHİRSPOR,2
1801,BESIKTAS,1,FENERBAHCE,2
1802,GENÇLERBİRLİĞİ,3,HACETTEPE SPOR,1
1803,SIVASSPOR,1,BÜYÜKŞEHİR BLD.SPOR,2
1804,ANKARASPOR A.Ş.,1,BESIKTAS,4
1805,FENERBAHCE,1,DENİZLİSPOR,0
1806,GALATASARAY,1,ANKARAGUCU,0
1807,KOCAELİSPOR,1,TRABZONSPOR,3
1808,BURSASPOR,3,KONYASPOR,0
1809,ESKİŞEHİRSPOR,2,ANTALYASPOR,0
1810,KAYSERISPOR,3,GAZIANTEPFK,0
1811,HACETTEPE SPOR,1,SIVASSPOR,2
1812,ANTALYASPOR,1,FENERBAHCE,1
1813,GAZIANTEPFK,5,KOCAELİSPOR,2
1814,GALATASARAY,2,GENÇLERBİRLİĞİ,1
1815,DENİZLİSPOR,2,ANKARASPOR A.Ş.,0
1816,KONYASPOR,1,ESKİŞEHİRSPOR,2
1817,BÜYÜKŞEHİR BLD.SPOR,1,KAYSERISPOR,0
1818,ANKARAGUCU,1,BESIKTAS,3
1819,TRABZONSPOR,1,BURSASPOR,0
1820,KAYSERISPOR,1,HACETTEPE SPOR,0
1821,KOCAELİSPOR,2,BÜYÜKŞEHİR BLD.SPOR,3
1822,FENERBAHCE,4,KONYASPOR,2
1823,BESIKTAS,2,GALATASARAY,1
1824,ANKARAGUCU,3,DENİZLİSPOR,0
1825,SIVASSPOR,3,GENÇLERBİRLİĞİ,2
1826,BURSASPOR,2,GAZIANTEPFK,2
1827,ESKİŞEHİRSPOR,2,TRABZONSPOR,5
1828,ANKARASPOR A.Ş.,0,ANTALYASPOR,0
1829,GAZIANTEPFK,1,ESKİŞEHİRSPOR,1
1830,HACETTEPE SPOR,0,KOCAELİSPOR,4
1831,GALATASARAY,2,SIVASSPOR,1
1832,GENÇLERBİRLİĞİ,0,KAYSERISPOR,4
1833,ANTALYASPOR,1,ANKARAGUCU,0
1834,KONYASPOR,3,ANKARASPOR A.Ş.,0
1835,TRABZONSPOR,1,FENERBAHCE,2
1836,BÜYÜKŞEHİR BLD.SPOR,0,BURSASPOR,1
1837,DENİZLİSPOR,1,BESIKTAS,2
1838,BÜYÜKŞEHİR BLD.SPOR,1,BESIKTAS,1
1839,ANTALYASPOR,3,ANKARASPOR A.Ş.,0
1840,DİYARBAKIRSPOR,2,ANKARAGUCU,2
1841,SIVASSPOR,1,TRABZONSPOR,2
1842,GAZIANTEPFK,2,GALATASARAY,3
1843,GENÇLERBİRLİĞİ,0,KAYSERISPOR,0
1844,BURSASPOR,2,KASIMPASA,1
1845,MANİSASPOR,0,ESKİŞEHİRSPOR,0
1846,DENİZLİSPOR,0,FENERBAHCE,2
1847,TRABZONSPOR,1,DİYARBAKIRSPOR,2
1848,ANKARAGUCU,1,MANİSASPOR,1
1849,GALATASARAY,4,DENİZLİSPOR,1
1850,ANKARASPOR A.Ş.,0,GENÇLERBİRLİĞİ,3
1851,ESKİŞEHİRSPOR,3,BURSASPOR,2
1852,KAYSERISPOR,1,GAZIANTEPFK,1
1853,KASIMPASA,1,BÜYÜKŞEHİR BLD.SPOR,3
1854,FENERBAHCE,3,SIVASSPOR,0
1855,BESIKTAS,2,ANTALYASPOR,0
1856,GENÇLERBİRLİĞİ,0,BESIKTAS,0
1857,BURSASPOR,1,ANKARAGUCU,0
1858,BÜYÜKŞEHİR BLD.SPOR,0,ESKİŞEHİRSPOR,0
1859,GAZIANTEPFK,3,ANKARASPOR A.Ş.,0
1860,ANTALYASPOR,2,KASIMPASA,0
1861,GALATASARAY,4,KAYSERISPOR,1
1862,MANİSASPOR,1,TRABZONSPOR,0
1863,DİYARBAKIRSPOR,1,FENERBAHCE,3
1864,DENİZLİSPOR,1,SIVASSPOR,1
1865,BESIKTAS,0,GAZIANTEPFK,0
1866,ESKİŞEHİRSPOR,2,ANTALYASPOR,1
1867,ANKARAGUCU,2,BÜYÜKŞEHİR BLD.SPOR,2
1868,KAYSERISPOR,3,DENİZLİSPOR,0
1869,SIVASSPOR,0,DİYARBAKIRSPOR,2
