macNo,ev,evGol,dep,depGol
116,ALTAY,0,BESIKTAS,1
117,FENERBAHCE,7,BURSASPOR,1
118,DİYARBAKIRSPOR,0,DENİZLİSPOR,0
119,ISTANBULSPOR,0,MALATYASPOR,0
120,KOCAELİSPOR,1,FENERBAHCE,2
121,TRABZONSPOR,3,ANKARAGUCU,0
122,BESIKTAS,3,ADANASPOR A.Ş.,0
123,GÖZTEPE A.Ş.,2,GAZIANTEPFK,1
124,BURSASPOR,1,ELAZIĞSPOR,1
125,SAMSUNSPOR,2,ALTAY,4
126,GENÇLERBİRLİĞİ,1,GALATASARAY,0
127,FENERBAHCE,2,ISTANBULSPOR,0
128,ELAZIĞSPOR,0,KOCAELİSPOR,1
129,GAZIANTEPFK,0,TRABZONSPOR,0
130,ALTAY,2,BURSASPOR,1
131,ANKARAGUCU,1,GALATASARAY,2
132,MALATYASPOR,0,DİYARBAKIRSPOR,1
133,ADANASPOR A.Ş.,1,SAMSUNSPOR,1
134,DENİZLİSPOR,0,GÖZTEPE A.Ş.,0
135,BESIKTAS,1,GENÇLERBİRLİĞİ,1
136,KOCAELİSPOR,3,ALTAY,0
137,ISTANBULSPOR,2,ELAZIĞSPOR,1
138,TRABZONSPOR,1,DENİZLİSPOR,0
139,DİYARBAKIRSPOR,3,FENERBAHCE,0
140,GÖZTEPE A.Ş.,0,MALATYASPOR,3
141,SAMSUNSPOR,2,GENÇLERBİRLİĞİ,7
142,ANKARAGUCU,5,GAZIANTEPFK,3
143,BURSASPOR,3,ADANASPOR A.Ş.,0
144,GALATASARAY,0,BESIKTAS,1
145,GAZIANTEPFK,1,GALATASARAY,2
146,ADANASPOR A.Ş.,1,KOCAELİSPOR,0
147,ALTAY,4,ISTANBULSPOR,3
148,MALATYASPOR,2,TRABZONSPOR,2
149,FENERBAHCE,0,GÖZTEPE A.Ş.,0
150,ELAZIĞSPOR,0,DİYARBAKIRSPOR,1
151,GENÇLERBİRLİĞİ,2,BURSASPOR,0
152,BESIKTAS,2,SAMSUNSPOR,0
153,DENİZLİSPOR,2,ANKARAGUCU,1
154,ADANASPOR A.Ş.,0,ISTANBULSPOR,3
155,BESIKTAS,1,BURSASPOR,0
156,ALTAY,2,DİYARBAKIRSPOR,2
157,GENÇLERBİRLİĞİ,5,KOCAELİSPOR,1
158,SAMSUNSPOR,0,GALATASARAY,1
159,FENERBAHCE,3,TRABZONSPOR,2
160,DENİZLİSPOR,1,GAZIANTEPFK,0
161,ELAZIĞSPOR,0,GÖZTEPE A.Ş.,0
162,MALATYASPOR,3,ANKARAGUCU,1
163,GAZIANTEPFK,3,MALATYASPOR,0
164,GÖZTEPE A.Ş.,0,ALTAY,2
165,BURSASPOR,2,SAMSUNSPOR,1
166,KOCAELİSPOR,0,BESIKTAS,5
167,ISTANBULSPOR,1,GENÇLERBİRLİĞİ,3
168,DİYARBAKIRSPOR,2,ADANASPOR A.Ş.,0
169,TRABZONSPOR,1,ELAZIĞSPOR,1
170,ANKARAGUCU,0,FENERBAHCE,0
171,GALATASARAY,0,DENİZLİSPOR,1
172,GENÇLERBİRLİĞİ,3,DİYARBAKIRSPOR,1
173,SAMSUNSPOR,1,KOCAELİSPOR,0
174,MALATYASPOR,2,DENİZLİSPOR,1
175,FENERBAHCE,2,GAZIANTEPFK,0
176,ELAZIĞSPOR,1,ANKARAGUCU,0
177,ALTAY,1,TRABZONSPOR,4
178,ADANASPOR A.Ş.,1,GÖZTEPE A.Ş.,2
179,BESIKTAS,2,ISTANBULSPOR,1
180,BURSASPOR,0,GALATASARAY,4
181,GÖZTEPE A.Ş.,0,GENÇLERBİRLİĞİ,0
182,TRABZONSPOR,3,ADANASPOR A.Ş.,1
183,ANKARAGUCU,3,ALTAY,0
184,ISTANBULSPOR,0,SAMSUNSPOR,1
185,GALATASARAY,2,MALATYASPOR,1
186,GAZIANTEPFK,4,ELAZIĞSPOR,0
187,KOCAELİSPOR,0,BURSASPOR,0
188,DİYARBAKIRSPOR,1,BESIKTAS,0
189,DENİZLİSPOR,1,FENERBAHCE,1
190,FENERBAHCE,2,MALATYASPOR,0
191,ALTAY,0,GAZIANTEPFK,0
192,GENÇLERBİRLİĞİ,2,TRABZONSPOR,1
193,BURSASPOR,1,ISTANBULSPOR,2
194,KOCAELİSPOR,0,GALATASARAY,1
195,ELAZIĞSPOR,0,DENİZLİSPOR,2
196,ADANASPOR A.Ş.,0,ANKARAGUCU,2
197,SAMSUNSPOR,3,DİYARBAKIRSPOR,1
198,BESIKTAS,7,GÖZTEPE A.Ş.,3
199,GAZIANTEPFK,1,ADANASPOR A.Ş.,1
200,MALATYASPOR,1,ELAZIĞSPOR,1
201,GÖZTEPE A.Ş.,0,SAMSUNSPOR,0
202,DENİZLİSPOR,1,ALTAY,1
203,GALATASARAY,2,FENERBAHCE,0
204,ISTANBULSPOR,2,KOCAELİSPOR,1
205,DİYARBAKIRSPOR,4,BURSASPOR,0
206,ANKARAGUCU,0,GENÇLERBİRLİĞİ,1
207,TRABZONSPOR,1,BESIKTAS,1
208,GENÇLERBİRLİĞİ,2,GAZIANTEPFK,1
209,ELAZIĞSPOR,3,FENERBAHCE,3
210,ISTANBULSPOR,1,GALATASARAY,2
211,SAMSUNSPOR,1,TRABZONSPOR,3
212,ADANASPOR A.Ş.,2,DENİZLİSPOR,1
213,ALTAY,0,MALATYASPOR,2
214,BURSASPOR,1,GÖZTEPE A.Ş.,0
215,KOCAELİSPOR,1,DİYARBAKIRSPOR,1
216,BESIKTAS,1,ANKARAGUCU,0
217,ANKARAGUCU,3,SAMSUNSPOR,2
218,MALATYASPOR,1,ADANASPOR A.Ş.,0
219,DİYARBAKIRSPOR,1,ISTANBULSPOR,1
220,FENERBAHCE,0,ALTAY,1
221,TRABZONSPOR,3,BURSASPOR,0
222,DENİZLİSPOR,1,GENÇLERBİRLİĞİ,3
223,GÖZTEPE A.Ş.,1,KOCAELİSPOR,2
224,GAZIANTEPFK,1,BESIKTAS,1
225,GALATASARAY,3,ELAZIĞSPOR,0
226,KOCAELİSPOR,2,TRABZONSPOR,2
227,SAMSUNSPOR,2,GAZIANTEPFK,1
228,GENÇLERBİRLİĞİ,3,MALATYASPOR,0
229,BESIKTAS,2,DENİZLİSPOR,0
230,ALTAY,5,ELAZIĞSPOR,1
231,BURSASPOR,0,ANKARAGUCU,2
232,ISTANBULSPOR,3,GÖZTEPE A.Ş.,1
233,DİYARBAKIRSPOR,1,GALATASARAY,3
234,ADANASPOR A.Ş.,3,FENERBAHCE,1
235,GALATASARAY,5,ALTAY,0
236,DENİZLİSPOR,0,SAMSUNSPOR,1
237,GÖZTEPE A.Ş.,3,DİYARBAKIRSPOR,0
238,MALATYASPOR,1,BESIKTAS,2
239,ANKARAGUCU,2,KOCAELİSPOR,0
240,ELAZIĞSPOR,4,ADANASPOR A.Ş.,2
241,TRABZONSPOR,0,ISTANBULSPOR,0
242,GAZIANTEPFK,2,BURSASPOR,1
243,FENERBAHCE,3,GENÇLERBİRLİĞİ,3
244,GÖZTEPE A.Ş.,0,GALATASARAY,1
245,ISTANBULSPOR,1,ANKARAGUCU,0
